date,time,category,sub-category,article,branch,link
2014-07-15,17:50:23,media,internet,Small Dead Animals,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076576&oldid=593416422
2014-07-15,17:52:03,media,internet,Small Dead Animals,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076764&oldid=617076604
2014-07-15,17:54:01,user,user,User talk:192.197.82.203,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076998&oldid=617076772
2014-07-15,17:55:12,politics,politician,Dean Del Mastro,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617077155&oldid=617076588
2014-07-15,17:58:43,place,ontario canada,Canadian Museum of History,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617077559&oldid=615504644
2014-07-15,18:02:04,media,internet,Small Dead Animals,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617077946&oldid=617076894
2014-07-15,18:09:34,user,user,User talk:192.197.82.203,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617078723&oldid=617078232
2014-07-16,14:02:29,military,military equipment,SIG Sauer P220,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617182660&oldid=616042477
2014-07-16,14:09:05,politics,politician,Pierre-Hugues Boisvenu,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617183315&oldid=590026008
2014-07-16,17:32:31,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617205595&oldid=614035881
2014-07-16,17:42:18,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617206848&oldid=617205595
2014-07-16,18:02:31,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617209271&oldid=617206848
2014-07-16,18:25:42,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617211954&oldid=617209271
2014-07-16,18:27:06,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617212147&oldid=617211954
2014-07-16,18:31:19,military,military unit,4th Canadian Division,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617212682&oldid=610268071
2014-07-17,18:11:46,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617348206&oldid=617318049
2014-07-18,12:18:58,military,military unit,Canadian Military Engineers,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617445994&oldid=616836045
2014-07-18,15:41:37,media,radio,The Current (radio program),Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=617466405&oldid=614632604
2014-07-18,16:28:39,military,military unit,Princess Patricia's Canadian Li,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617471619&oldid=617080122
2014-07-18,21:55:27,military,military battle,Battle of the Allia,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=617507027&oldid=608402066
2014-07-18,21:56:04,military,military battle,Battle of the Allia,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=617507075&oldid=617507027
2014-07-20,07:52:36,language,language,宣道會陳元喜小學,Canadian Department of National Defence,http://zh.wikipedia.org/w/index.php?diff=31950704&oldid=31802332
2014-07-21,11:51:21,military,military place,Naval Radio Section Aldergrove,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617834500&oldid=572904560
2014-07-21,15:57:31,military,military unit,HMCS Esquimalt (J272),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617861689&oldid=610790790
2014-07-21,16:31:58,sports,football,Ottawa Redblacks,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617865903&oldid=617783935
2014-07-21,17:06:12,politics,politics event,6th BRICS summit,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617869806&oldid=617869488
2014-07-21,17:33:42,sports,football,Richard Conn,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=617873328&oldid=594491565
2014-07-21,17:33:53,media,music,Sitar,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=617873356&oldid=617545678
2014-07-21,17:35:12,sports,football,Richard Conn,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=617873560&oldid=617873337
2014-07-21,21:10:38,place,alberta canada,West Edmonton Mall,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=617898626&oldid=616486476
2014-07-22,14:51:10,politics,politician,List of current Parliamentary Secretaries of Ca,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=617992461&oldid=607693104
2014-07-22,16:24:09,politics,politics event,New Democratic Party (Canada) leadership election,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618002319&oldid=613084341
2014-07-22,19:00:58,talk,talk,Talk:Corneliu Chisu,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618020014&oldid=615744681
2014-07-22,19:04:13,talk,talk,Talk:Corneliu Chisu,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618020431&oldid=618020014
2014-07-23,13:21:19,military,military unit,The Windsor Regiment (RCAC),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618120545&oldid=614112761
2014-07-23,16:15:14,science,math,Shadow price,Department of Fisheries and Oceans,http://en.wikipedia.org/w/index.php?diff=618141620&oldid=617384822
2014-07-23,17:12:55,politics,politics event,Constitutional debate in Canada,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618148419&oldid=604547154
2014-07-23,17:50:55,science,math,Trigonométrie sphérique,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=105665319&oldid=100538998&rcid=122666746
2014-07-23,20:16:07,military,military unit,FNSS ACV-15,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618170012&oldid=611550897
2014-07-24,13:12:28,media,music,Minor third,Department of Fisheries and Oceans,http://en.wikipedia.org/w/index.php?diff=618268846&oldid=609672201
2014-07-24,13:29:15,poltics,royalty,Maria of Portugal Duchess of Viseu,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=618270605&oldid=614082190
2014-07-24,17:38:30,deleted,deleted,Gabriel Landry,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=105689326&rcid=122725150
2014-07-24,17:44:14,military,military unit,Mission Command,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618301040&oldid=561413502
2014-07-24,17:45:07,military,military unit,Mission Command,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618301155&oldid=618301040
2014-07-24,17:48:25,military,military unit,Mission Command,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618301553&oldid=618301155
2014-07-24,20:21:41,politics,politician,Robert Goguen,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618320818&oldid=616553990
2014-07-24,20:28:05,politics,politician,Robert Goguen,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618321641&oldid=618320818
2014-07-24,20:32:08,politics,politician,Robert Goguen,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618322147&oldid=618321641
2014-07-24,20:34:36,sports,football,Atlanta Falcons,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=618322439&oldid=617891833
2014-07-24,20:39:48,education,university,Grenoble Institute of Political Studies,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=618323136&oldid=612760821
2014-07-24,21:17:30,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=618327614&oldid=617868745
2014-07-25,13:46:11,language,name,Jewish surname,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618416924&oldid=615029157
2014-07-25,18:07:20,media,author,Johann Hari,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618446248&oldid=617825383
2014-07-25,18:22:47,military,military unit,The Argyll and Sutherland Highl,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618448054&oldid=615980258
2014-07-25,18:25:20,military,military unit,The Argyll and Sutherland Highl,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618448359&oldid=618448054
2014-07-25,19:27:20,talk,talk,Talk:State of Palestine,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618454850&oldid=618451571
2014-07-25,19:35:44,product,food,Poutine,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618455762&oldid=618264113
2014-07-25,19:47:49,politics,department,House of Commons of Canada,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618456945&oldid=617528374
2014-07-25,19:54:45,media,date,Friday,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=618457676&oldid=616067057
2014-07-28,02:50:17,company,company,List of companies named after peopl,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=618757499&oldid=618211697
2014-07-29,13:55:18,technology,technology,Automation,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=618973125&oldid=617100147
2014-07-29,15:24:33,talk,talk,Talk:Arlington Texas,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=618984813&oldid=602856261
2014-07-29,19:19:06,politics,politician,Robert Goguen,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619015787&oldid=618507416
2014-07-29,19:19:31,politics,politician,Robert Goguen,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619015849&oldid=619015787
2014-07-29,20:05:32,politics,politician,Thanh Hai Ngo,Canadian House of Commons,http://fr.wikipedia.org/w/index.php?oldid=105813428&rcid=122950066
2014-07-29,20:35:13,place,nova scotia canada,Halifax Nova Scotia,Department of Fisheries and Oceans,http://en.wikipedia.org/w/index.php?diff=619025545&oldid=618852853
2014-07-29,20:35:13,place,nova scotia canada,Halifax Nova Scotia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619025545&oldid=618852853
2014-07-29,20:36:03,place,nova scotia canada,Halifax Nova Scotia,Department of Fisheries and Oceans,http://en.wikipedia.org/w/index.php?diff=619025654&oldid=619025545
2014-07-29,20:36:03,place,nova scotia canada,Halifax Nova Scotia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619025654&oldid=619025545
2014-07-30,13:03:11,media,television,The Scooby and Scrappy-Doo Puppy Hour,Government of Canada,http://en.wikipedia.org/w/index.php?diff=619131185&oldid=609937859
2014-07-30,13:03:11,media,television,The Scooby and Scrappy-Doo Puppy Hour,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619131185&oldid=609937859
2014-07-30,14:05:38,media,television,Scary Scooby Funnies,Government of Canada,http://en.wikipedia.org/w/index.php?diff=619138214&oldid=619042635
2014-07-30,14:05:38,media,television,Scary Scooby Funnies,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619138214&oldid=619042635
2014-07-30,14:06:43,media,film,List of English Academy Award nominees and winners,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619138320&oldid=616473976
2014-07-30,14:07:05,media,television,Scooby-Doo,Government of Canada,http://en.wikipedia.org/w/index.php?diff=619138368&oldid=618943303
2014-07-30,14:07:05,media,television,Scooby-Doo,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619138368&oldid=618943303
2014-07-30,14:22:37,media,television,Blowing Smoke (Mad Men),Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619140555&oldid=611758788
2014-07-30,15:26:40,politics,poltical event,Economy of Ontario,Industry Canada,http://en.wikipedia.org/w/index.php?diff=619148994&oldid=610643764
2014-07-30,15:44:38,media,television,Fred Flintstone and Friends,Government of Canada,http://en.wikipedia.org/w/index.php?diff=619151505&oldid=609046897
2014-07-30,15:44:38,media,television,Fred Flintstone and Friends,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619151505&oldid=609046897
2014-07-30,16:22:29,sports,hockey,Rocky Saganiuk,Industry Canada,http://en.wikipedia.org/w/index.php?diff=619156831&oldid=617788840
2014-07-30,16:39:43,sports,hockey,Rocky Saganiuk,Industry Canada,http://en.wikipedia.org/w/index.php?diff=619159067&oldid=619156831
2014-07-30,18:57:14,place,ontario canada,St. Catharines,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619176153&oldid=618922429
2014-07-30,19:23:30,place,ontario canada,C. D. Howe Building,Industry Canada,http://en.wikipedia.org/w/index.php?diff=619179409&oldid=571011415
2014-07-31,04:55:14,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619240302&oldid=619080245
2014-07-31,05:00:20,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619240707&oldid=619240302
2014-07-31,05:05:53,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619241130&oldid=619240707
2014-07-31,12:07:33,politics,organisation,Commonwealth of Nations,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619278726&oldid=619277172
2014-07-31,12:09:29,politics,organisation,Commonwealth of Nations,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619278903&oldid=619278726
2014-07-31,12:11:48,politics,organisation,Commonwealth of Nations,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619279142&oldid=619278903
2014-07-31,12:13:51,politics,organisation,Commonwealth of Nations,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619279317&oldid=619279142
2014-07-31,12:15:37,politics,organisation,Commonwealth of Nations,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619279490&oldid=619279317
2014-07-31,14:24:30,politics,organisation,Falange,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619293354&oldid=616054592
2014-07-31,14:26:17,talk,talk,Talk:Falange,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619293593&oldid=525737935
2014-07-31,16:12:47,media,event,Kissing traditions,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619307356&oldid=598340504
2014-07-31,19:15:30,education,high school,St. Peter Catholic High School,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619329156&oldid=612815283
2014-07-31,19:21:11,education,high school,St. Peter Catholic High School,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619329910&oldid=619329156
2014-08-01,13:46:12,wikipedia,wikipedia,Wikipedia:Tutorial/Editing/sandbox,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619422813&oldid=619401660
2014-08-01,13:56:37,wikipedia,wikipedia,Wikipedia:Tutorial/Formatting/sandbox,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619423993&oldid=619228176
2014-08-01,13:58:45,wikipedia,wikipedia,Wikipedia:Tutorial/Formatting/sandbox,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619424240&oldid=619228136
2014-08-01,14:35:00,place,geographic term,Conurbation,Industry Canada,http://en.wikipedia.org/w/index.php?diff=619428365&oldid=619138566
2014-08-01,15:26:02,science,animal,Trichuriasis,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619434193&oldid=618607421
2014-08-01,15:46:55,art,political history,Carolingian dynasty,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=619436688&oldid=613623041
2014-08-01,17:08:43,places,ontario canada,Union Station (Toronto),Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619445767&oldid=618724878
2014-08-01,17:35:58,sports,baseball,Major League Baseball All-Century Team,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619448762&oldid=619261707
2014-08-01,18:31:41,politics,politician,List of Manitoba senators,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619454519&oldid=567478282
2014-08-01,18:45:52,place,ontario canada,Union Station (Toronto),Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619456111&oldid=619447409
2014-08-01,19:42:14,science,medicine,Anemia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619462578&oldid=619394933
2014-08-04,10:26:06,police,police,Ontario Provincial Police,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=619797348&oldid=615727724
2014-08-04,19:32:05,military,military event,Celebratory gunfire,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619859159&oldid=617962300
2014-08-05,14:57:39,politics,politician,Dave Van Kesteren,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619967138&oldid=599834734
2014-08-05,15:01:14,sports,football,Panda Game (Ottawa vs. Carleton),Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=619967585&oldid=618256895
2014-08-05,17:29:09,place,north america,List of American and Canadian cities by number of ma,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619984400&oldid=619918718
2014-08-05,17:30:29,military,military unit,Military Police Complaints Commission,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619984541&oldid=573687780
2014-08-05,18:39:35,language,language,Post Scriptum (formație),Shared Services Canada,http://ro.wikipedia.org/w/index.php?diff=8769837&oldid=8659612&rcid=12180165
2014-08-05,19:44:15,draft,draft,Draft:Canadian Clinical Trials Asset Map,Shared Services Canada,http://en.wikipedia.org/w/index.php?oldid=619999652&rcid=673361968
2014-08-05,21:07:39,military,military battle,Bataille de Singapour,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=106024640&oldid=101755547&rcid=123386628
2014-08-05,21:17:45,military,military battle,Bataille de Malaisie,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=106024852&oldid=103991524&rcid=123387109
2014-08-05,21:24:37,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=620010597&oldid=618327614
2014-08-05,22:31:56,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=620017485&oldid=620010597
2014-08-06,03:52:31,media,actor,Barry Pepper,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620046371&oldid=618151848
2014-08-06,03:53:34,media,actor,Barry Pepper,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620046455&oldid=620046371
2014-08-06,03:54:04,media,actor,Barry Pepper,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620046491&oldid=620046455
2014-08-06,07:58:12,police,police,List of law enforcement agencies in Canada,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620064696&oldid=619660037
2014-08-06,13:10:41,aviation,airport,Yarmouth Airport,Environment Canada,http://en.wikipedia.org/w/index.php?diff=620089762&oldid=613695576
2014-08-06,13:26:12,science,animal,Bull shark,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=620091188&oldid=617280649
2014-08-06,13:58:54,politics,politics event,North Korea and weapons of mass des,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=620094416&oldid=619891190
2014-08-06,14:19:03,military,military unit,HMCS Prevost,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=620096745&oldid=575919902
2014-08-06,14:46:22,politics,law,Citizenship judge,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620100318&oldid=596564663
2014-08-06,14:52:17,people,irish people,List of people from Northern Ireland,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620100889&oldid=618832371
2014-08-06,15:08:24,politics,political event,Timeline of the far future,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620102772&oldid=619958809
2014-08-06,16:16:25,place,ontario canada,List of tallest buildings in Ottawa–Gatineau,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620110594&oldid=601504925
2014-08-06,16:35:15,science,math,Coin flipping,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620112741&oldid=619593042
2014-08-06,16:49:56,media,television,Yvon Pedneault,Canadian Department of National Defence,http://fr.wikipedia.org/w/index.php?diff=106046180&oldid=90521648&rcid=123426833
2014-08-06,17:09:45,media,game,Star Citizen,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620116544&oldid=617982885
2014-08-06,17:19:41,science,theory,Subjectivism,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620117950&oldid=589030643
2014-08-06,17:20:36,science,theory,Subjectivism,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620118075&oldid=620117950
2014-08-06,19:27:04,politics,politician,Louis-Joseph Papineau,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=620132807&oldid=614647006
2014-08-06,19:36:27,science,science object,Amoeba Culture,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620133793&oldid=619980111
2014-08-06,19:41:00,media,music,Stardom Entertainment,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620134314&oldid=618392042
2014-08-06,19:41:16,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=620134342&oldid=620017485
2014-08-06,19:42:25,media,rapper,Cho PD,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620134465&oldid=618010386
2014-08-06,19:53:07,politics,politician,Thanh Hai Ngo,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=620135598&oldid=616449376
2014-08-06,20:13:34,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=620137965&oldid=620134342
2014-08-06,20:55:54,religion,religious person,Khalid ibn al-Walid,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620143088&oldid=619454101
2014-08-07,13:50:21,product,banking,List of systemically important banks,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620235867&oldid=618118709
2014-08-07,15:10:33,politics,politician,Ted Hsu,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620244855&oldid=584870883
2014-08-07,15:18:35,place,ontario canada,Nepean Point,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=620245661&oldid=503114057
2014-08-07,18:27:42,politics,politician,Mathieu Ravignat,Canadian House of Commons,http://fr.wikipedia.org/w/index.php?diff=106077575&oldid=105681293&rcid=123476250
2014-08-07,19:06:41,media,music,Mott the Hoople,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620271710&oldid=619019848
2014-08-07,19:07:16,media,music,Mott the Hoople,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620271778&oldid=620271710
2014-08-07,21:12:37,place,ontario canada,Ancaster Ontario,Natural Resources Canada,http://en.wikipedia.org/w/index.php?diff=620286505&oldid=620137965
2014-08-13,12:30:55,science,animal,English Springer Spaniel,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621052815&oldid=606739213
2014-08-13,14:07:21,sports,hockey,1946 Stanley Cup Finals,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621063537&oldid=589700790
2014-08-13,14:38:03,place,america,Ferguson Missouri,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=621067621&oldid=621067500
2014-08-13,14:38:31,place,america,Ferguson Missouri,Department of Justice Canada,http://en.wikipedia.org/w/index.php?diff=621067682&oldid=621067621
2014-08-13,14:51:45,science,animal,Tautogolabrus adspersus,Department of Fisheries and Oceans,http://fr.wikipedia.org/w/index.php?diff=106234873&oldid=90239532&rcid=123747475
2014-08-13,14:51:45,science,animal,Tautogolabrus adspersus,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=106234873&oldid=90239532&rcid=123747475
2014-08-13,15:57:04,politics,political event,Royal Victorian Chain,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621077770&oldid=618711481
2014-08-13,17:28:19,media,television,Scooby-Doo,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621088812&oldid=620948278
2014-08-13,18:57:27,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621099457&oldid=619373991
2014-08-13,19:01:58,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100062&oldid=621099457
2014-08-13,19:04:13,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100336&oldid=621100062
2014-08-13,19:05:47,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100546&oldid=621100336
2014-08-13,19:07:34,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100776&oldid=621100620
2014-08-13,19:08:20,education,school,List of schools of the Cons,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100873&oldid=610005610
2014-08-13,19:09:00,education,school,List of schools of the Cons,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621100961&oldid=621100873
2014-08-13,23:14:00,military,military equipment,List of main battle tanks by countr,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=621130503&oldid=621113619
