Start Date,End Date,Event Title,Arc,Label,Tags,Participants,Notes
21/07/2014,21/07/2014,Sitar,,media,music,Statistics Canada,
21/07/2014,21/07/2014,Richard Conn,,sports,football,Natural Resources Canada,
21/07/2014,21/07/2014,West Edmonton Mall,,place,alberta canada,Natural Resources Canada,
22/07/2014,22/07/2014,List of current Parliamentary Secretaries of Ca,,politics,politician,Library and Archives Canada,
22/07/2014,22/07/2014,New Democratic Party (Canada) leadership election,,politics,politics event,Canadian House of Commons,
22/07/2014,22/07/2014,Talk:Corneliu Chisu,,talk,talk,Canadian House of Commons,
22/07/2014,22/07/2014,Talk:Corneliu Chisu,,talk,talk,Canadian House of Commons,
23/07/2014,23/07/2014,The Windsor Regiment (RCAC),,military,military unit,Canadian Department of National Defence,
23/07/2014,23/07/2014,Shadow price,,science,math,Department of Fisheries and Oceans,
23/07/2014,23/07/2014,Constitutional debate in Canada,,politics,politics event,Canadian House of Commons,
23/07/2014,23/07/2014,Trigonométrie sphérique,,science,math,Environment Canada,
23/07/2014,23/07/2014,FNSS ACV-15,,military,military unit,Canadian Department of National Defence,
24/07/2014,24/07/2014,Minor third,,media,music,Department of Fisheries and Oceans,
24/07/2014,24/07/2014,Maria of Portugal Duchess of Viseu,,poltics,royalty,Library and Archives Canada,
24/07/2014,24/07/2014,Gabriel Landry,,deleted,deleted,Environment Canada,
24/07/2014,24/07/2014,Mission Command,,military,military unit,Canadian Department of National Defence,
24/07/2014,24/07/2014,Mission Command,,military,military unit,Canadian Department of National Defence,
24/07/2014,24/07/2014,Mission Command,,military,military unit,Canadian Department of National Defence,
24/07/2014,24/07/2014,Robert Goguen,,politics,politician,Canadian House of Commons,
24/07/2014,24/07/2014,Robert Goguen,,politics,politician,Canadian House of Commons,
24/07/2014,24/07/2014,Robert Goguen,,politics,politician,Canadian House of Commons,
24/07/2014,24/07/2014,Atlanta Falcons,,sports,football,Statistics Canada,
24/07/2014,24/07/2014,Grenoble Institute of Political Studies,,education,university,Department of Justice Canada,
24/07/2014,24/07/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
25/07/2014,25/07/2014,Jewish surname,,language,name,Canadian House of Commons,
25/07/2014,25/07/2014,Johann Hari,,media,author,Canadian House of Commons,
25/07/2014,25/07/2014,The Argyll and Sutherland Highl,,military,military unit,Canadian Department of National Defence,
25/07/2014,25/07/2014,The Argyll and Sutherland Highl,,military,military unit,Canadian Department of National Defence,
25/07/2014,25/07/2014,Talk:State of Palestine,,talk,talk,Canadian House of Commons,
25/07/2014,25/07/2014,Poutine,,product,food,Canadian House of Commons,
25/07/2014,25/07/2014,House of Commons of Canada,,politics,department,Canadian House of Commons,
25/07/2014,25/07/2014,Friday,,media,date,Canadian House of Commons,
28/07/2014,28/07/2014,List of companies named after peopl,,company,company,Canadian Department of National Defence,
29/07/2014,29/07/2014,Automation,,technology,technology,Shared Services Canada,
29/07/2014,29/07/2014,Talk:Arlington Texas,,talk,talk,Shared Services Canada,
29/07/2014,29/07/2014,Robert Goguen,,politics,politician,Canadian House of Commons,
29/07/2014,29/07/2014,Robert Goguen,,politics,politician,Canadian House of Commons,
29/07/2014,29/07/2014,Thanh Hai Ngo,,politics,politician,Canadian House of Commons,
29/07/2014,29/07/2014,Halifax Nova Scotia,,place,nova scotia canada,Department of Fisheries and Oceans,
29/07/2014,29/07/2014,Halifax Nova Scotia,,place,nova scotia canada,Shared Services Canada,
29/07/2014,29/07/2014,Halifax Nova Scotia,,place,nova scotia canada,Department of Fisheries and Oceans,
29/07/2014,29/07/2014,Halifax Nova Scotia,,place,nova scotia canada,Shared Services Canada,
30/07/2014,30/07/2014,The Scooby and Scrappy-Doo Puppy Hour,,media,television,Government of Canada,
30/07/2014,30/07/2014,The Scooby and Scrappy-Doo Puppy Hour,,media,television,Shared Services Canada,
30/07/2014,30/07/2014,Scary Scooby Funnies,,media,television,Government of Canada,
30/07/2014,30/07/2014,Scary Scooby Funnies,,media,television,Shared Services Canada,
30/07/2014,30/07/2014,List of English Academy Award nominees and winners,,media,film,Shared Services Canada,
30/07/2014,30/07/2014,Scooby-Doo,,media,television,Government of Canada,
30/07/2014,30/07/2014,Scooby-Doo,,media,television,Shared Services Canada,
30/07/2014,30/07/2014,Blowing Smoke (Mad Men),,media,television,Shared Services Canada,
30/07/2014,30/07/2014,Economy of Ontario,,politics,poltical event,Industry Canada,
30/07/2014,30/07/2014,Fred Flintstone and Friends,,media,television,Government of Canada,
30/07/2014,30/07/2014,Fred Flintstone and Friends,,media,television,Shared Services Canada,
30/07/2014,30/07/2014,Rocky Saganiuk,,sports,hockey,Industry Canada,
30/07/2014,30/07/2014,Rocky Saganiuk,,sports,hockey,Industry Canada,
30/07/2014,30/07/2014,St. Catharines,,place,ontario canada,Shared Services Canada,
30/07/2014,30/07/2014,C. D. Howe Building,,place,ontario canada,Industry Canada,
31/07/2014,31/07/2014,Faith Chepngetich Kipyegon,,religion,religious sect,Shared Services Canada,
31/07/2014,31/07/2014,Faith Chepngetich Kipyegon,,religion,religious sect,Shared Services Canada,
31/07/2014,31/07/2014,Faith Chepngetich Kipyegon,,religion,religious sect,Shared Services Canada,
31/07/2014,31/07/2014,Commonwealth of Nations,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Commonwealth of Nations,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Commonwealth of Nations,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Commonwealth of Nations,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Commonwealth of Nations,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Falange,,politics,organisation,Shared Services Canada,
31/07/2014,31/07/2014,Talk:Falange,,talk,talk,Shared Services Canada,
31/07/2014,31/07/2014,Kissing traditions,,media,event,Shared Services Canada,
31/07/2014,31/07/2014,St. Peter Catholic High School,,education,high school,Shared Services Canada,
31/07/2014,31/07/2014,St. Peter Catholic High School,,education,high school,Shared Services Canada,
01/08/2014,01/08/2014,Wikipedia:Tutorial/Editing/sandbox,,wikipedia,wikipedia,Shared Services Canada,
01/08/2014,01/08/2014,Wikipedia:Tutorial/Formatting/sandbox,,wikipedia,wikipedia,Shared Services Canada,
01/08/2014,01/08/2014,Wikipedia:Tutorial/Formatting/sandbox,,wikipedia,wikipedia,Shared Services Canada,
01/08/2014,01/08/2014,Conurbation,,place,geographic term,Industry Canada,
01/08/2014,01/08/2014,Trichuriasis,,science,animal,Shared Services Canada,
01/08/2014,01/08/2014,Carolingian dynasty,,art,political history,Canadian Department of National Defence,
01/08/2014,01/08/2014,Union Station (Toronto),,places,ontario canada,Canadian House of Commons,
01/08/2014,01/08/2014,Major League Baseball All-Century Team,,sports,baseball,Shared Services Canada,
01/08/2014,01/08/2014,List of Manitoba senators,,politics,politician,Canadian House of Commons,
01/08/2014,01/08/2014,Union Station (Toronto),,place,ontario canada,Canadian House of Commons,
01/08/2014,01/08/2014,Anemia,,science,medicine,Shared Services Canada,
04/08/2014,04/08/2014,Ontario Provincial Police,,police,police,Canadian Department of National Defence,
04/08/2014,04/08/2014,Celebratory gunfire,,military,military event,Shared Services Canada,
05/08/2014,05/08/2014,Dave Van Kesteren,,politics,politician,Canadian House of Commons,
05/08/2014,05/08/2014,Panda Game (Ottawa vs. Carleton),,sports,football,Canadian House of Commons,
05/08/2014,05/08/2014,List of American and Canadian cities by number of ma,,place,north america,Shared Services Canada,
05/08/2014,05/08/2014,Military Police Complaints Commission,,military,military unit,Shared Services Canada,
05/08/2014,05/08/2014,Post Scriptum (formație),,language,language,Shared Services Canada,
05/08/2014,05/08/2014,Draft:Canadian Clinical Trials Asset Map,,draft,draft,Shared Services Canada,
05/08/2014,05/08/2014,Bataille de Singapour,,military,military battle,Shared Services Canada,
05/08/2014,05/08/2014,Bataille de Malaisie,,military,military battle,Shared Services Canada,
05/08/2014,05/08/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
05/08/2014,05/08/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
06/08/2014,06/08/2014,Barry Pepper,,media,actor,Shared Services Canada,
06/08/2014,06/08/2014,Barry Pepper,,media,actor,Shared Services Canada,
06/08/2014,06/08/2014,Barry Pepper,,media,actor,Shared Services Canada,
06/08/2014,06/08/2014,List of law enforcement agencies in Canada,,police,police,Shared Services Canada,
06/08/2014,06/08/2014,Yarmouth Airport,,aviation,airport,Environment Canada,
06/08/2014,06/08/2014,Bull shark,,science,animal,Library and Archives Canada,
06/08/2014,06/08/2014,North Korea and weapons of mass des,,politics,politics event,Canadian Department of National Defence,
06/08/2014,06/08/2014,HMCS Prevost,,military,military unit,Canadian Department of National Defence,
06/08/2014,06/08/2014,Citizenship judge,,politics,law,Shared Services Canada,
06/08/2014,06/08/2014,List of people from Northern Ireland,,people,irish people,Shared Services Canada,
06/08/2014,06/08/2014,Timeline of the far future,,politics,political event,Shared Services Canada,
06/08/2014,06/08/2014,List of tallest buildings in Ottawa–Gatineau,,place,ontario canada,Shared Services Canada,
06/08/2014,06/08/2014,Coin flipping,,science,math,Shared Services Canada,
06/08/2014,06/08/2014,Yvon Pedneault,,media,television,Canadian Department of National Defence,
06/08/2014,06/08/2014,Star Citizen,,media,game,Shared Services Canada,
06/08/2014,06/08/2014,Subjectivism,,science,theory,Shared Services Canada,
06/08/2014,06/08/2014,Subjectivism,,science,theory,Shared Services Canada,
06/08/2014,06/08/2014,Louis-Joseph Papineau,,politics,politician,Library and Archives Canada,
06/08/2014,06/08/2014,Amoeba Culture,,science,science object,Shared Services Canada,
06/08/2014,06/08/2014,Stardom Entertainment,,media,music,Shared Services Canada,
06/08/2014,06/08/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
06/08/2014,06/08/2014,Cho PD,,media,rapper,Shared Services Canada,
06/08/2014,06/08/2014,Thanh Hai Ngo,,politics,politician,Canadian House of Commons,
06/08/2014,06/08/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
06/08/2014,06/08/2014,Khalid ibn al-Walid,,religion,religious person,Shared Services Canada,
07/08/2014,07/08/2014,List of systemically important banks,,product,banking,Shared Services Canada,
07/08/2014,07/08/2014,Ted Hsu,,politics,politician,Shared Services Canada,
07/08/2014,07/08/2014,Nepean Point,,place,ontario canada,Canadian House of Commons,
07/08/2014,07/08/2014,Mathieu Ravignat,,politics,politician,Canadian House of Commons,
07/08/2014,07/08/2014,Mott the Hoople,,media,music,Shared Services Canada,
07/08/2014,07/08/2014,Mott the Hoople,,media,music,Shared Services Canada,
07/08/2014,07/08/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
13/08/2014,13/08/2014,English Springer Spaniel,,science,animal,Shared Services Canada,
13/08/2014,13/08/2014,1946 Stanley Cup Finals,,sports,hockey,Shared Services Canada,
13/08/2014,13/08/2014,Ferguson Missouri,,place,america,Department of Justice Canada,
13/08/2014,13/08/2014,Ferguson Missouri,,place,america,Department of Justice Canada,
13/08/2014,13/08/2014,Tautogolabrus adspersus,,science,animal,Department of Fisheries and Oceans,
13/08/2014,13/08/2014,Tautogolabrus adspersus,,science,animal,Shared Services Canada,
13/08/2014,13/08/2014,Royal Victorian Chain,,politics,political event,Shared Services Canada,
13/08/2014,13/08/2014,Scooby-Doo,,media,television,Canadian Department of National Defence,
13/08/2014,13/08/2014,Honda CR-X del Sol,,automobiles,car,Canadian Department of National Defence,
13/08/2014,13/08/2014,Honda CR-X del Sol,,automobiles,car,Canadian Department of National Defence,
13/08/2014,13/08/2014,Honda CR-X del Sol,,automobiles,car,Canadian Department of National Defence,
13/08/2014,13/08/2014,Honda CR-X del Sol,,automobiles,car,Canadian Department of National Defence,
13/08/2014,13/08/2014,Honda CR-X del Sol,,automobiles,car,Canadian Department of National Defence,
13/08/2014,13/08/2014,List of schools of the Cons,,education,school,Canadian Department of National Defence,
13/08/2014,13/08/2014,List of schools of the Cons,,education,school,Canadian Department of National Defence,
13/08/2014,13/08/2014,List of main battle tanks by countr,,military,military equipment,Canadian Department of National Defence,
13/08/2014,13/08/2014,Operation Medak Pocket,,military,military event,Canadian Department of National Defence,
13/08/2014,13/08/2014,List of modern Canadian Army equipm,,military,military equipment,Canadian Department of National Defence,
14/08/2014,14/08/2014,List of modern Canadian Army equipm,,military,military equipment,Canadian Department of National Defence,
14/08/2014,14/08/2014,Alison Redford,,politics,politician,Canadian Department of National Defence,
14/08/2014,14/08/2014,Chelsea Quebec,,place,quebec canada,Shared Services Canada,
14/08/2014,14/08/2014,Chelsea Quebec,,place,quebec canada,Shared Services Canada,
14/08/2014,14/08/2014,Chelsea Quebec,,place,quebec canada,Shared Services Canada,
14/08/2014,14/08/2014,Sociology,,science,theory,Shared Services Canada,
14/08/2014,14/08/2014,Sociology,,science,theory,Shared Services Canada,
14/08/2014,14/08/2014,Resolute Nunavut,,place,nunavut canada,Natural Resources Canada,
14/08/2014,14/08/2014,Fraser Forster,,sports,soccer,Canadian Department of National Defence,
14/08/2014,14/08/2014,Governor (United States),,politics,politician,Shared Services Canada,
14/08/2014,14/08/2014,Jeremy Hansen,,military,pilot,Canadian Department of National Defence,
14/08/2014,14/08/2014,Jeremy Hansen,,military,pilot,Canadian Department of National Defence,
15/08/2014,15/08/2014,Nova Scotia Senior Baseball League,,sports,baseball,Shared Services Canada,
15/08/2014,15/08/2014,Nova Scotia Senior Baseball League,,sports,baseball,Shared Services Canada,
15/08/2014,15/08/2014,Nova Scotia Senior Baseball League,,sports,baseball,Shared Services Canada,
15/08/2014,15/08/2014,Bean,,science,science object,Canadian House of Commons,
15/08/2014,15/08/2014,Vs. System,,media,game,Shared Services Canada,
15/08/2014,15/08/2014,Costas Menegakis,,politics,politician,Canadian House of Commons,
15/08/2014,15/08/2014,International availability of Fanta,,product,food,Shared Services Canada,
15/08/2014,15/08/2014,List of Carleton University people,,education,university,Industry Canada,
15/08/2014,15/08/2014,List of Carleton University people,,education,university,Industry Canada,
18/08/2014,18/08/2014,Elisha Cuthbert,,media,actor,Shared Services Canada,
18/08/2014,18/08/2014,Eastern wolf,,science,animal,Shared Services Canada,
18/08/2014,18/08/2014,Eastern wolf,,science,animal,Shared Services Canada,
18/08/2014,18/08/2014,Eastern wolf,,science,animal,Shared Services Canada,
18/08/2014,18/08/2014,Tala' al Badru 'Alayna,,religion,religious music,Shared Services Canada,
18/08/2014,18/08/2014,Tala' al Badru 'Alayna,,religion,religious music,Shared Services Canada,
18/08/2014,18/08/2014,Metalcore,,media,music,Shared Services Canada,
19/08/2014,19/08/2014,Modèle:Alignement Rouge et Noir d'Ottawa,,template,template,Shared Services Canada,
19/08/2014,19/08/2014,Larry Miller (Canadian politician),,politics,politician,Canadian House of Commons,
19/08/2014,19/08/2014,Johnny Wander,,media,comic,Shared Services Canada,
19/08/2014,19/08/2014,Timeline of the Euromaidan,,politics,political event,Canadian House of Commons,
19/08/2014,19/08/2014,Maroon 5,,media,music,Shared Services Canada,
19/08/2014,19/08/2014,History of flooding in Canada,,art,environmental history,Environment Canada,
19/08/2014,19/08/2014,History of flooding in Canada,,art,environmental history,Environment Canada,
19/08/2014,19/08/2014,1973 Saint John River Flood,,science,flood,Environment Canada,
19/08/2014,19/08/2014,History of flooding in Canada,,art,environmental history,Environment Canada,
19/08/2014,19/08/2014,History of flooding in Canada,,art,environmental history,Environment Canada,
19/08/2014,19/08/2014,1973 Saint John River Flood,,science,flood,Environment Canada,
20/08/2014,20/08/2014,User talk:Nmcke,,user,user,Natural Resources Canada,
20/08/2014,20/08/2014,Peter Mansbridge,,media,television,Canadian House of Commons,
20/08/2014,20/08/2014,Stephen I of Hungary,,politics,royalty,Canadian House of Commons,
20/08/2014,20/08/2014,Peter Mansbridge,,media,television,Canadian House of Commons,
20/08/2014,20/08/2014,British Columbia,,place,british colombia canada,Natural Resources Canada,
20/08/2014,20/08/2014,User talk:Nmcke,,user,user,Natural Resources Canada,
20/08/2014,20/08/2014,User talk:Nmcke,,user,user,Natural Resources Canada,
20/08/2014,20/08/2014,Toronto FC,,sports,soccer,Canadian Broadcasting Corporation,
20/08/2014,20/08/2014,Toronto FC,,sports,soccer,Canadian Broadcasting Corporation,
20/08/2014,20/08/2014,Toronto FC,,sports,soccer,Canadian Broadcasting Corporation,
20/08/2014,20/08/2014,HMCS Charlottetown (FFH 339),,military,military unit,Canadian Department of National Defence,
20/08/2014,20/08/2014,Durham Regional Police Service,,police,police,Canadian Department of National Defence,
21/08/2014,21/08/2014,Star Citizen,,media,game,Shared Services Canada,
21/08/2014,21/08/2014,Party Whip (Canada),,politics,politics event,Canadian House of Commons,
21/08/2014,21/08/2014,List of waterfalls by type,,science,theory,Shared Services Canada,
21/08/2014,21/08/2014,Char M1 Abrams,,military,military equipment,Environment Canada,
22/08/2014,22/08/2014,Zellers,,media,company,Shared Services Canada,
22/08/2014,22/08/2014,Sgt. Pepper's Lonely Hearts Club Band,,media,music,Shared Services Canada,
22/08/2014,22/08/2014,The Beatles (album),,media,music,Shared Services Canada,
22/08/2014,22/08/2014,Raymond Heard,,media,editor,Shared Services Canada,
22/08/2014,22/08/2014,Jamsil Station,,place,transport,Shared Services Canada,
22/08/2014,22/08/2014,KLM,,aviation,airline,Shared Services Canada,
22/08/2014,22/08/2014,Base des Forces canadiennes Valcartier,,military,military place,Library and Archives Canada,
23/08/2014,23/08/2014,Dorchester Penitentiary,,police,prison,Shared Services Canada,
23/08/2014,23/08/2014,Dorchester Penitentiary,,police,prison,Shared Services Canada,
23/08/2014,23/08/2014,Springhill Institution,,education,high school,Shared Services Canada,
24/08/2014,24/08/2014,Gun politics in Canada,,politics,law,Canadian Department of National Defence,
24/08/2014,24/08/2014,2010 G-20 Toronto summit,,politics,politics event,Canadian Department of National Defence,
24/08/2014,24/08/2014,2010 G-20 Toronto summit,,politics,politics event,Canadian Department of National Defence,
25/08/2014,25/08/2014,1980 FA Cup Final,,sports,soccer,Shared Services Canada,
25/08/2014,25/08/2014,Maclaren Cemetery,,place,quebec canada,Shared Services Canada,
25/08/2014,25/08/2014,Indicatifs régionaux 819 et 873,,technology,telephone,Shared Services Canada,
25/08/2014,25/08/2014,Shared services,,politics,department,Shared Services Canada,
25/08/2014,25/08/2014,2006 Ontario terrorism plot,,terrorism,terrorism plot,Shared Services Canada,
25/08/2014,25/08/2014,Indicatifs régionaux 819 et 873,,technology,telephone,Shared Services Canada,
25/08/2014,25/08/2014,Indicatifs régionaux 819 et 873,,technology,telephone,Shared Services Canada,
25/08/2014,25/08/2014,List of Canadian military operation,,military,military event,Canadian Department of National Defence,
25/08/2014,25/08/2014,Winnipeg Blue Bombers,,sports,football,Shared Services Canada,
25/08/2014,25/08/2014,Alexis Nakota Sioux First Nation,,aboriginal,First Nations,Shared Services Canada,
26/08/2014,26/08/2014,Marcel Masse,,politics,politician,Shared Services Canada,
26/08/2014,26/08/2014,Port-Gentil,,place,africa,Shared Services Canada,
26/08/2014,26/08/2014,Marcel Masse,,politics,politician,Shared Services Canada,
26/08/2014,26/08/2014,Dalida,,media,actor,Shared Services Canada,
26/08/2014,26/08/2014,Cumberland Panthers,,sports,hockey,Canadian Department of National Defence,
26/08/2014,26/08/2014,Q6725965,,science,science object,Shared Services Canada,
26/08/2014,26/08/2014,Watt,,science,theory,Canadian Department of National Defence,
26/08/2014,26/08/2014,Lynne Griffin,,media,actor,Shared Services Canada,
26/08/2014,26/08/2014,Canadian Forces Military Police,,military,military unit,Canadian Department of National Defence,
26/08/2014,26/08/2014,Canadian Forces Military Police,,military,military unit,Canadian Department of National Defence,
26/08/2014,26/08/2014,Bishop Carroll High School (Calgary Alberta),,education,high school,Shared Services Canada,
26/08/2014,26/08/2014,Voluntary Aid Detachment,,military,military unit,Canadian House of Commons,
27/08/2014,27/08/2014,Dallas (2012 TV series),,media,television,Government of Canada,
27/08/2014,27/08/2014,Dallas (2012 TV series),,media,television,Shared Services Canada,
27/08/2014,27/08/2014,Ghislain,,language,name,Shared Services Canada,
27/08/2014,27/08/2014,Las Vegas Posse,,sports,football,Shared Services Canada,
27/08/2014,27/08/2014,Las Vegas Posse,,sports,football,Shared Services Canada,
27/08/2014,27/08/2014,Tabagie (feast),,media,event,Canadian Museum of Civilization,
27/08/2014,27/08/2014,Portal:Current events/2014 August 26,,portal,portal,Shared Services Canada,
27/08/2014,27/08/2014,Royal Canadian Navy,,military,military unit,Canadian Department of National Defence,
27/08/2014,27/08/2014,Subaru Impreza,,automobiles,car,Canadian Department of National Defence,
27/08/2014,27/08/2014,David Collier (cartoonist),,media,television,Canadian Department of National Defence,
27/08/2014,27/08/2014,Wendy Son,,media,music,Shared Services Canada,
27/08/2014,27/08/2014,Wendy Son,,media,music,Shared Services Canada,
27/08/2014,27/08/2014,Wendy Son,,media,music,Shared Services Canada,
27/08/2014,27/08/2014,Wendy Son,,media,music,Shared Services Canada,
27/08/2014,27/08/2014,Stirling-Rawdon,,place,ontario canada,Canadian Department of National Defence,
27/08/2014,27/08/2014,Stirling-Rawdon,,place,ontario canada,Canadian Department of National Defence,
27/08/2014,27/08/2014,Centennial Secondary School (Bellev,,education,high school,Canadian Department of National Defence,
27/08/2014,27/08/2014,Bataille d'Okinawa,,military,military battle,Shared Services Canada,
27/08/2014,27/08/2014,Bataille d'Okinawa,,military,military battle,Shared Services Canada,
28/08/2014,28/08/2014,Danny Dorosh,,deleted,deleted,Canadian Department of National Defence,
28/08/2014,28/08/2014,Danny Dorosh,,deleted,deleted,Canadian Department of National Defence,
28/08/2014,28/08/2014,Danny Dorosh,,deleted,deleted,Canadian Department of National Defence,
28/08/2014,28/08/2014,Danny Dorosh,,deleted,deleted,Canadian Department of National Defence,
28/08/2014,28/08/2014,Danny Dorosh,,deleted,deleted,Canadian Department of National Defence,
28/08/2014,28/08/2014,Ukrainian Ground Forces,,military,military unit,Canadian Department of National Defence,
28/08/2014,28/08/2014,Wikipedia:Articles for deletio,,wikipedia,wikipedia,Canadian Department of National Defence,
28/08/2014,28/08/2014,Wendy Son,,media,music,Shared Services Canada,
28/08/2014,28/08/2014,Wendy Son,,media,music,Shared Services Canada,
28/08/2014,28/08/2014,Service météorologique du Canada,,politics,department,Environment Canada,
28/08/2014,28/08/2014,Captain (armed forces),,military,military rank,Canadian Department of National Defence,
28/08/2014,28/08/2014,Captain (Canadian army and air forc,,military,military rank,Canadian Department of National Defence,
28/08/2014,28/08/2014,Captain (Canadian army and air forc,,military,military rank,Canadian Department of National Defence,
28/08/2014,28/08/2014,David Anderson (Saskatchewan politician),,politics,politician,Canadian House of Commons,
28/08/2014,28/08/2014,Randy Johnson,,sports,baseball,Shared Services Canada,
28/08/2014,28/08/2014,Lord Strathcona's Horse (Royal ,,military,military unit,Canadian Department of National Defence,
28/08/2014,28/08/2014,List of historical ships in British,,military,military equipment,Canadian Department of National Defence,
29/08/2014,29/08/2014,Kubb,,sports,lawn game,Shared Services Canada,
29/08/2014,29/08/2014,Kubb,,sports,lawn game,Shared Services Canada,
29/08/2014,29/08/2014,Commons:Featured picture candi,,commons,commons,Canadian Department of National Defence,
29/08/2014,29/08/2014,Saint-Vincent-de-Paul (Gironda),,religion,religious person,Shared Services Canada,
29/08/2014,29/08/2014,Bataille d'Okinawa,,military,military battle,Shared Services Canada,
29/08/2014,29/08/2014,Yellow Sea,,place,asia,Environment Canada,
29/08/2014,29/08/2014,Type 95 Ha-Go,,military,military equipment,Shared Services Canada,
29/08/2014,29/08/2014,Type 97 Chi-Ha,,military,military equipment,Shared Services Canada,
