date,category,sub-category,article,branch
31/07/2014,politics,organisation,Commonwealth of Nations,Shared Services Canada
31/07/2014,politics,organisation,Commonwealth of Nations,Shared Services Canada
31/07/2014,politics,organisation,Commonwealth of Nations,Shared Services Canada
31/07/2014,politics,organisation,Commonwealth of Nations,Shared Services Canada
31/07/2014,politics,organisation,Commonwealth of Nations,Shared Services Canada
31/07/2014,politics,organisation,Falange,Shared Services Canada
31/07/2014,talk,talk,Talk:Falange,Shared Services Canada
31/07/2014,media,event,Kissing traditions,Shared Services Canada
31/07/2014,education,high school,St. Peter Catholic High School,Shared Services Canada
31/07/2014,education,high school,St. Peter Catholic High School,Shared Services Canada
01/08/2014,wikipedia,wikipedia,Wikipedia:Tutorial/Editing/sandbox,Shared Services Canada
01/08/2014,wikipedia,wikipedia,Wikipedia:Tutorial/Formatting/sandbox,Shared Services Canada
01/08/2014,wikipedia,wikipedia,Wikipedia:Tutorial/Formatting/sandbox,Shared Services Canada
01/08/2014,place,geographic term,Conurbation,Industry Canada
01/08/2014,science,animal,Trichuriasis,Shared Services Canada
01/08/2014,art,political history,Carolingian dynasty,Canadian Department of National Defence
01/08/2014,places,ontario canada,Union Station (Toronto),Canadian House of Commons
01/08/2014,sports,baseball,Major League Baseball All-Century Team,Shared Services Canada
01/08/2014,politics,politician,List of Manitoba senators,Canadian House of Commons
01/08/2014,place,ontario canada,Union Station (Toronto),Canadian House of Commons
01/08/2014,science,medicine,Anemia,Shared Services Canada
04/08/2014,police,police,Ontario Provincial Police,Canadian Department of National Defence
04/08/2014,military,military event,Celebratory gunfire,Shared Services Canada
05/08/2014,politics,politician,Dave Van Kesteren,Canadian House of Commons
05/08/2014,sports,football,Panda Game (Ottawa vs. Carleton),Canadian House of Commons
05/08/2014,place,north america,List of American and Canadian cities by number of ma,Shared Services Canada
05/08/2014,military,military unit,Military Police Complaints Commission,Shared Services Canada
05/08/2014,language,language,Post Scriptum (formație),Shared Services Canada
05/08/2014,draft,draft,Draft:Canadian Clinical Trials Asset Map,Shared Services Canada
05/08/2014,military,military battle,Bataille de Singapour,Shared Services Canada
05/08/2014,military,military battle,Bataille de Malaisie,Shared Services Canada
05/08/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
05/08/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
06/08/2014,media,actor,Barry Pepper,Shared Services Canada
06/08/2014,media,actor,Barry Pepper,Shared Services Canada
06/08/2014,media,actor,Barry Pepper,Shared Services Canada
06/08/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
06/08/2014,aviation,airport,Yarmouth Airport,Environment Canada
06/08/2014,science,animal,Bull shark,Library and Archives Canada
06/08/2014,politics,politics event,North Korea and weapons of mass des,Canadian Department of National Defence
06/08/2014,military,military unit,HMCS Prevost,Canadian Department of National Defence
06/08/2014,politics,law,Citizenship judge,Shared Services Canada
06/08/2014,people,irish people,List of people from Northern Ireland,Shared Services Canada
06/08/2014,politics,political event,Timeline of the far future,Shared Services Canada
06/08/2014,place,ontario canada,List of tallest buildings in Ottawa–Gatineau,Shared Services Canada
06/08/2014,science,math,Coin flipping,Shared Services Canada
06/08/2014,media,television,Yvon Pedneault,Canadian Department of National Defence
06/08/2014,media,game,Star Citizen,Shared Services Canada
06/08/2014,science,theory,Subjectivism,Shared Services Canada
06/08/2014,science,theory,Subjectivism,Shared Services Canada
06/08/2014,politics,politician,Louis-Joseph Papineau,Library and Archives Canada
06/08/2014,science,science object,Amoeba Culture,Shared Services Canada
06/08/2014,media,music,Stardom Entertainment,Shared Services Canada
06/08/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
06/08/2014,media,rapper,Cho PD,Shared Services Canada
06/08/2014,politics,politician,Thanh Hai Ngo,Canadian House of Commons
06/08/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
06/08/2014,religion,religious person,Khalid ibn al-Walid,Shared Services Canada
07/08/2014,product,banking,List of systemically important banks,Shared Services Canada
07/08/2014,politics,politician,Ted Hsu,Shared Services Canada
07/08/2014,place,ontario canada,Nepean Point,Canadian House of Commons
07/08/2014,politics,politician,Mathieu Ravignat,Canadian House of Commons
07/08/2014,media,music,Mott the Hoople,Shared Services Canada
07/08/2014,media,music,Mott the Hoople,Shared Services Canada
07/08/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
13/08/2014,science,animal,English Springer Spaniel,Shared Services Canada
13/08/2014,sports,hockey,1946 Stanley Cup Finals,Shared Services Canada
13/08/2014,place,america,Ferguson Missouri,Department of Justice Canada
13/08/2014,place,america,Ferguson Missouri,Department of Justice Canada
13/08/2014,science,animal,Tautogolabrus adspersus,Department of Fisheries and Oceans
13/08/2014,science,animal,Tautogolabrus adspersus,Shared Services Canada
13/08/2014,politics,political event,Royal Victorian Chain,Shared Services Canada
13/08/2014,media,television,Scooby-Doo,Canadian Department of National Defence
13/08/2014,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence
13/08/2014,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence
13/08/2014,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence
13/08/2014,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence
13/08/2014,automobiles,car,Honda CR-X del Sol,Canadian Department of National Defence
13/08/2014,education,school,List of schools of the Cons,Canadian Department of National Defence
13/08/2014,education,school,List of schools of the Cons,Canadian Department of National Defence
13/08/2014,military,military equipment,List of main battle tanks by countr,Canadian Department of National Defence
13/08/2014,military,military event,Operation Medak Pocket,Canadian Department of National Defence
13/08/2014,military,military equipment,List of modern Canadian Army equipm,Canadian Department of National Defence
14/08/2014,military,military equipment,List of modern Canadian Army equipm,Canadian Department of National Defence
14/08/2014,politics,politician,Alison Redford,Canadian Department of National Defence
14/08/2014,place,quebec canada,Chelsea Quebec,Shared Services Canada
14/08/2014,place,quebec canada,Chelsea Quebec,Shared Services Canada
14/08/2014,place,quebec canada,Chelsea Quebec,Shared Services Canada
14/08/2014,science,theory,Sociology,Shared Services Canada
14/08/2014,science,theory,Sociology,Shared Services Canada
14/08/2014,place,nunavut canada,Resolute Nunavut,Natural Resources Canada
14/08/2014,sports,soccer,Fraser Forster,Canadian Department of National Defence
14/08/2014,politics,politician,Governor (United States),Shared Services Canada
14/08/2014,military,pilot,Jeremy Hansen,Canadian Department of National Defence
14/08/2014,military,pilot,Jeremy Hansen,Canadian Department of National Defence
15/08/2014,sports,baseball,Nova Scotia Senior Baseball League,Shared Services Canada
15/08/2014,sports,baseball,Nova Scotia Senior Baseball League,Shared Services Canada
15/08/2014,sports,baseball,Nova Scotia Senior Baseball League,Shared Services Canada
15/08/2014,science,science object,Bean,Canadian House of Commons
15/08/2014,media,game,Vs. System,Shared Services Canada
15/08/2014,politics,politician,Costas Menegakis,Canadian House of Commons
15/08/2014,product,food,International availability of Fanta,Shared Services Canada
15/08/2014,education,university,List of Carleton University people,Industry Canada
15/08/2014,education,university,List of Carleton University people,Industry Canada
18/08/2014,media,actor,Elisha Cuthbert,Shared Services Canada
18/08/2014,science,animal,Eastern wolf,Shared Services Canada
18/08/2014,science,animal,Eastern wolf,Shared Services Canada
18/08/2014,science,animal,Eastern wolf,Shared Services Canada
18/08/2014,religion,religious music,Tala' al Badru 'Alayna,Shared Services Canada
18/08/2014,religion,religious music,Tala' al Badru 'Alayna,Shared Services Canada
18/08/2014,media,music,Metalcore,Shared Services Canada
19/08/2014,template,template,Modèle:Alignement Rouge et Noir d'Ottawa,Shared Services Canada
19/08/2014,politics,politician,Larry Miller (Canadian politician),Canadian House of Commons
19/08/2014,media,comic,Johnny Wander,Shared Services Canada
19/08/2014,politics,political event,Timeline of the Euromaidan,Canadian House of Commons
19/08/2014,media,music,Maroon 5,Shared Services Canada
19/08/2014,art,environmental history,History of flooding in Canada,Environment Canada
19/08/2014,art,environmental history,History of flooding in Canada,Environment Canada
19/08/2014,science,flood,1973 Saint John River Flood,Environment Canada
19/08/2014,art,environmental history,History of flooding in Canada,Environment Canada
19/08/2014,art,environmental history,History of flooding in Canada,Environment Canada
19/08/2014,science,flood,1973 Saint John River Flood,Environment Canada
20/08/2014,user,user,User talk:Nmcke,Natural Resources Canada
20/08/2014,media,television,Peter Mansbridge,Canadian House of Commons
20/08/2014,politics,royalty,Stephen I of Hungary,Canadian House of Commons
20/08/2014,media,television,Peter Mansbridge,Canadian House of Commons
20/08/2014,place,british colombia canada,British Columbia,Natural Resources Canada
20/08/2014,user,user,User talk:Nmcke,Natural Resources Canada
20/08/2014,user,user,User talk:Nmcke,Natural Resources Canada
20/08/2014,sports,soccer,Toronto FC,Canadian Broadcasting Corporation
20/08/2014,sports,soccer,Toronto FC,Canadian Broadcasting Corporation
20/08/2014,sports,soccer,Toronto FC,Canadian Broadcasting Corporation
20/08/2014,military,military unit,HMCS Charlottetown (FFH 339),Canadian Department of National Defence
20/08/2014,police,police,Durham Regional Police Service,Canadian Department of National Defence
21/08/2014,media,game,Star Citizen,Shared Services Canada
21/08/2014,politics,politics event,Party Whip (Canada),Canadian House of Commons
21/08/2014,science,theory,List of waterfalls by type,Shared Services Canada
21/08/2014,military,military equipment,Char M1 Abrams,Environment Canada
22/08/2014,media,company,Zellers,Shared Services Canada
22/08/2014,media,music,Sgt. Pepper's Lonely Hearts Club Band,Shared Services Canada
22/08/2014,media,music,The Beatles (album),Shared Services Canada
22/08/2014,media,editor,Raymond Heard,Shared Services Canada
22/08/2014,place,transport,Jamsil Station,Shared Services Canada
22/08/2014,aviation,airline,KLM,Shared Services Canada
22/08/2014,military,military place,Base des Forces canadiennes Valcartier,Library and Archives Canada
23/08/2014,police,prison,Dorchester Penitentiary,Shared Services Canada
23/08/2014,police,prison,Dorchester Penitentiary,Shared Services Canada
23/08/2014,education,high school,Springhill Institution,Shared Services Canada
24/08/2014,politics,law,Gun politics in Canada,Canadian Department of National Defence
24/08/2014,politics,politics event,2010 G-20 Toronto summit,Canadian Department of National Defence
24/08/2014,politics,politics event,2010 G-20 Toronto summit,Canadian Department of National Defence
25/08/2014,sports,soccer,1980 FA Cup Final,Shared Services Canada
25/08/2014,place,quebec canada,Maclaren Cemetery,Shared Services Canada
25/08/2014,technology,telephone,Indicatifs régionaux 819 et 873,Shared Services Canada
25/08/2014,politics,department,Shared services,Shared Services Canada
25/08/2014,terrorism,terrorism plot,2006 Ontario terrorism plot,Shared Services Canada
25/08/2014,technology,telephone,Indicatifs régionaux 819 et 873,Shared Services Canada
25/08/2014,technology,telephone,Indicatifs régionaux 819 et 873,Shared Services Canada
25/08/2014,military,military event,List of Canadian military operation,Canadian Department of National Defence
25/08/2014,sports,football,Winnipeg Blue Bombers,Shared Services Canada
25/08/2014,aboriginal,First Nations,Alexis Nakota Sioux First Nation,Shared Services Canada
26/08/2014,politics,politician,Marcel Masse,Shared Services Canada
26/08/2014,place,africa,Port-Gentil,Shared Services Canada
26/08/2014,politics,politician,Marcel Masse,Shared Services Canada
26/08/2014,media,actor,Dalida,Shared Services Canada
26/08/2014,sports,hockey,Cumberland Panthers,Canadian Department of National Defence
26/08/2014,science,science object,Q6725965,Shared Services Canada
26/08/2014,science,theory,Watt,Canadian Department of National Defence
26/08/2014,media,actor,Lynne Griffin,Shared Services Canada
26/08/2014,military,military unit,Canadian Forces Military Police,Canadian Department of National Defence
26/08/2014,military,military unit,Canadian Forces Military Police,Canadian Department of National Defence
26/08/2014,education,high school,Bishop Carroll High School (Calgary Alberta),Shared Services Canada
26/08/2014,military,military unit,Voluntary Aid Detachment,Canadian House of Commons
27/08/2014,media,television,Dallas (2012 TV series),Government of Canada
27/08/2014,media,television,Dallas (2012 TV series),Shared Services Canada
27/08/2014,language,name,Ghislain,Shared Services Canada
27/08/2014,sports,football,Las Vegas Posse,Shared Services Canada
27/08/2014,sports,football,Las Vegas Posse,Shared Services Canada
27/08/2014,media,event,Tabagie (feast),Canadian Museum of Civilization
27/08/2014,portal,portal,Portal:Current events/2014 August 26,Shared Services Canada
27/08/2014,military,military unit,Royal Canadian Navy,Canadian Department of National Defence
27/08/2014,automobiles,car,Subaru Impreza,Canadian Department of National Defence
27/08/2014,media,television,David Collier (cartoonist),Canadian Department of National Defence
27/08/2014,media,music,Wendy Son,Shared Services Canada
27/08/2014,media,music,Wendy Son,Shared Services Canada
27/08/2014,media,music,Wendy Son,Shared Services Canada
27/08/2014,media,music,Wendy Son,Shared Services Canada
27/08/2014,place,ontario canada,Stirling-Rawdon,Canadian Department of National Defence
27/08/2014,place,ontario canada,Stirling-Rawdon,Canadian Department of National Defence
27/08/2014,education,high school,Centennial Secondary School (Bellev,Canadian Department of National Defence
27/08/2014,military,military battle,Bataille d'Okinawa,Shared Services Canada
27/08/2014,military,military battle,Bataille d'Okinawa,Shared Services Canada
28/08/2014,deleted,deleted,Danny Dorosh,Canadian Department of National Defence
28/08/2014,deleted,deleted,Danny Dorosh,Canadian Department of National Defence
28/08/2014,deleted,deleted,Danny Dorosh,Canadian Department of National Defence
28/08/2014,deleted,deleted,Danny Dorosh,Canadian Department of National Defence
28/08/2014,deleted,deleted,Danny Dorosh,Canadian Department of National Defence
28/08/2014,military,military unit,Ukrainian Ground Forces,Canadian Department of National Defence
28/08/2014,wikipedia,wikipedia,Wikipedia:Articles for deletio,Canadian Department of National Defence
28/08/2014,media,music,Wendy Son,Shared Services Canada
28/08/2014,media,music,Wendy Son,Shared Services Canada
28/08/2014,politics,department,Service météorologique du Canada,Environment Canada
28/08/2014,military,military rank,Captain (armed forces),Canadian Department of National Defence
28/08/2014,military,military rank,Captain (Canadian army and air forc,Canadian Department of National Defence
28/08/2014,military,military rank,Captain (Canadian army and air forc,Canadian Department of National Defence
28/08/2014,politics,politician,David Anderson (Saskatchewan politician),Canadian House of Commons
28/08/2014,sports,baseball,Randy Johnson,Shared Services Canada
28/08/2014,military,military unit,Lord Strathcona's Horse (Royal ,Canadian Department of National Defence
28/08/2014,military,military equipment,List of historical ships in British,Canadian Department of National Defence
29/08/2014,sports,lawn game,Kubb,Shared Services Canada
29/08/2014,sports,lawn game,Kubb,Shared Services Canada
29/08/2014,commons,commons,Commons:Featured picture candi,Canadian Department of National Defence
29/08/2014,religion,religious person,Saint-Vincent-de-Paul (Gironda),Shared Services Canada
29/08/2014,military,military battle,Bataille d'Okinawa,Shared Services Canada
29/08/2014,place,asia,Yellow Sea,Environment Canada
29/08/2014,military,military equipment,Type 95 Ha-Go,Shared Services Canada
29/08/2014,military,military equipment,Type 97 Chi-Ha,Shared Services Canada
29/08/2014,military,military place,CFS Alert,Canadian Department of National Defence
29/08/2014,education,high school,Phillips Exeter Academy,Shared Services Canada
29/08/2014,military,military equipment,Type 97 Chi-Ha,Shared Services Canada
29/08/2014,military,military equipment,Type 97 Chi-Ha,Shared Services Canada
29/08/2014,science,theory,Closed system,Shared Services Canada
29/08/2014,science,scientist,Richard Dawkins,Industry Canada
31/08/2014,company,restauraunt,Bens De Luxe Delicatessen,Canadian Department of National Defence
31/08/2014,company,restauraunt,Bens De Luxe Delicatessen,Canadian Department of National Defence
31/08/2014,military,military unit,435 Transport and Rescue Squadron,Canadian Department of National Defence
31/08/2014,company,restauraunt,Bens De Luxe Delicatessen,Canadian Department of National Defence
31/08/2014,company,restauraunt,Bens De Luxe Delicatessen,Canadian Department of National Defence
02/09/2014,military,soldier,List of foreign recipients of the Légion d'Honne,Shared Services Canada
02/09/2014,media,author,Kristine Kathryn Rusch,Statistics Canada
02/09/2014,education,university,Higher education,Shared Services Canada
02/09/2014,place,caribbean,République dominicaine,Natural Resources Canada
02/09/2014,military,military unit,Liste d'escadron de cadets de l'aviation royal du Canada,Canadian Space Agency
02/09/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
02/09/2014,military,military unit,Liste d'escadron de cadets de l'aviation royal du Canada,Canadian Space Agency
02/09/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
02/09/2014,politics,politician,Bansi Lal,Correctional Services Canada
03/09/2014,politics,law,Histoire des droits des homosexuels au Canada,Canadian House of Commons
03/09/2014,place,geography,Geography of Macau,Shared Services Canada
03/09/2014,science,scientist,Richard Dawkins,Industry Canada
03/09/2014,technology,phone,BlackBerry,Shared Services Canada
03/09/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,technology,phone,List of BlackBerry products,Shared Services Canada
03/09/2014,sports,football,2014–15 Football League Cup,Canadian Department of National Defence
03/09/2014,technology,phone,BlackBerry Porsche Design P9982,Shared Services Canada
03/09/2014,media,radio,Jerry Agar,Shared Services Canada
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,politics,political event,Land reclamation in Monaco,Shared Services Canada
03/09/2014,place,geography,Geography of San Marino,Shared Services Canada
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,politics,politician,Lise St-Denis,Canadian House of Commons
03/09/2014,user,user,User talk:Knipptang,Canadian Broadcasting Corporation
03/09/2014,media,games,List of Koei Tecmo games,Shared Services Canada
03/09/2014,military,military equipment,Mistral-class amphibious assault sh,Canadian Department of National Defence
03/09/2014,military,military equipment,Mistral-class amphibious assault sh,Canadian Department of National Defence
04/09/2014,science,meteorology,GRIB,Environment Canada
04/09/2014,talk,talk,Discussion:Route 138 (Québec),Department of Fisheries and Oceans
04/09/2014,talk,talk,Discussion:Route 138 (Québec),Shared Services Canada
04/09/2014,talk,talk,Talk:Gruppo Bertone,Canadian Department of National Defence
04/09/2014,talk,talk,Talk:Gruppo Bertone,Canadian Department of National Defence
04/09/2014,talk,talk,Talk:Gruppo Bertone,Canadian Department of National Defence
04/09/2014,education,high school,Merivale High School,Shared Services Canada
04/09/2014,education,high school,Merivale High School,Shared Services Canada
04/09/2014,science,science object,Harmonic oscillator,Natural Resources Canada
04/09/2014,science,science object,Harmonic oscillator,Natural Resources Canada
05/09/2014,military,military unit,Armée impériale japonaise,Shared Services Canada
05/09/2014,military,military unit,Armée impériale japonaise,Shared Services Canada
05/09/2014,media,television,List of Glee episodes,Shared Services Canada
05/09/2014,media,film,Grizzly Man,Shared Services Canada
05/09/2014,media,television,Rival Sons,Shared Services Canada
05/09/2014,media,television,Rival Sons,Shared Services Canada
05/09/2014,science,space,NanoRacks CubeSat Deployer,Canadian Space Agency
05/09/2014,sports,mixed martial arts,Chris Beal,Statistics Canada
05/09/2014,science,scientist,Samuel Andrews (chemist),Canadian Broadcasting Corporation
07/09/2014,science,science object,Q13297392,Environment Canada
07/09/2014,science,science object,Q8858140,Environment Canada
08/09/2014,sports,tennis,ATP World Tour records,Canadian Department of National Defence
08/09/2014,media,singer,Kaleb Simmonds,Shared Services Canada
08/09/2014,military,military unit,List of units of the Canadian Army,Canadian Department of National Defence
08/09/2014,military,military battle,Battle of Panjwaii,Canadian Department of National Defence
08/09/2014,media,television,Scotch Road,Library and Archives Canada
08/09/2014,technology,law,Tallinn Manual,Canadian Department of National Defence
08/09/2014,military,soldier,Frank McGill,Library and Archives Canada
08/09/2014,media,music,Pink Floyd – The Wall,Canadian Department of National Defence
09/09/2014,science,science object,Thermomètre,Shared Services Canada
09/09/2014,media,television,Dallas (2012 TV series),Government of Canada
09/09/2014,media,television,Dallas (2012 TV series),Shared Services Canada
09/09/2014,media,book,War and Peace,Finance Canada
09/09/2014,media,book,War and Peace,Shared Services Canada
09/09/2014,media,television,Loopy De Loop,Government of Canada
09/09/2014,media,television,Loopy De Loop,Shared Services Canada
09/09/2014,religion,religion,Book of Revelation,Shared Services Canada
09/09/2014,religion,religion,Book of Revelation,Shared Services Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
09/09/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
09/09/2014,sports,soccer,Simone Zaza,Shared Services Canada
09/09/2014,politics,department,Embassy of Canada Washington D.C.,Shared Services Canada
09/09/2014,media,television,Family Ties,Shared Services Canada
09/09/2014,sports,soccer,Eddie Edgar,Canadian House of Commons
